Index,Symbol,Time,SENTIMENT_SCORE,TWEET_COUNT,TWEETID,RETWEET,RETWEETID,AUTHOR_ID,ICS_HAS_FINANCE_BIO,NFOLLOWERS,NTWEETS,ICS_WHITELIST,ICS_IMPACT,VAL1,VAL2,VAL3,VAL4,VAL5,OMDSEQ,TWEET
36,iSentium::spy,2013/01/01 06:53:01.000,14.25,311331,11227291,0,-1,197918,0,-1,393,0,0.0,-1,-1,-1,-1,-1,0,in class (crimpro):  I approximate that 37% of my classmates are paying attention.
37,iSentium::spy,2013/01/01 06:58:32.000,0.0,311332,286078954538950656,1,286059558193987584,48317451,0,64,997,0,0.0,-1,-1,-1,-1,-1,0,RT @SeekingAlpha: Endowment-Style Strategies For Individual Investors; Pre-2007 http://t.co/z4gzeclj $SPY $GNMA $AGG $BND $IVV $VOO $VNQ ...
38,iSentium::spy,2013/01/01 07:00:37.000,-10.0,311333,11227305,0,-1,197918,0,-1,396,0,0.0,-1,-1,-1,-1,-1,0,
39,iSentium::spy,2013/01/01 07:05:28.000,0.0,311334,286080697595207680,0,-1,169001534,1,16526,1817,0,0.193548,-1,-1,-1,-1,-1,0,Stock Market Technical Analysis; Trading Swings and Economics News Updates  Daily at http://t.co/n6bkBnBt $DIA $QQQ $SPY
40,iSentium::spy,2013/01/01 07:07:45.000,-2.0,311335,286081274026799105,0,-1,76372103,1,0,10128,0,0.0207181,-1,-1,-1,-1,-1,0,
41,iSentium::spy,2013/01/01 07:08:44.000,-9.0,311336,286081522652545025,0,-1,76372103,1,0,10129,0,0.0207154,-1,-1,-1,-1,-1,0,
42,iSentium::spy,2013/01/01 07:18:29.000,5.0,311337,11227336,0,-1,107864,0,-1,2048,0,0.0,-1,-1,-1,-1,-1,0,
43,iSentium::spy,2013/01/01 07:23:18.000,0.0,311338,286085188562333696,0,-1,928800529,1,2,132,0,0.0,-1,-1,-1,-1,-1,0,Fuinhaz $SPY read for December 26 2012 http://t.co/tAW0Weby #Finance
44,iSentium::spy,2013/01/01 07:37:31.000,17.0,311339,11227355,0,-1,115847,0,-1,4722,0,0.0,-1,-1,-1,-1,-1,0,
45,iSentium::spy,2013/01/01 07:37:50.000,5.0,311340,286088843076173824,0,-1,173387492,1,1606,91,0,0.208333,-1,-1,-1,-1,-1,0,fascinating to see FT article explaining surge in $SPY yesterday as a response to an emerging deal http://t.co/UQZlVEcX
46,iSentium::spy,2013/01/01 07:43:28.000,0.0,311341,11227362,0,-1,149963,0,-1,17,0,0.0,-1,-1,-1,-1,-1,0,
47,iSentium::spy,2013/01/01 08:07:43.000,-6.0,311342,286096364104998912,0,-1,171985134,1,215,6230,0,0.0071142,-1,-1,-1,-1,-1,0,$spy 2012: Decline Of The IPO [INFOGRAPH]:  IPOs continued their recent decline in 2012. This infograp... http://t.co/HVu20BSW ValueWalk
48,iSentium::spy,2013/01/01 08:14:23.000,0.0,311343,286098042187296769,0,-1,171985134,1,215,6231,0,0.0071126,-1,-1,-1,-1,-1,0,$spy The Fed?s Misguided Policies: Musings:  With the Fed engaging in financial repression (maybe that... http://t.co/cxVrWx8P ValueWalk
49,iSentium::spy,2013/01/01 08:15:27.000,0.0,311344,286098309536419840,0,-1,441123653,1,3265,429,0,0.136808,-1,-1,-1,-1,-1,0,$AAPL Support and Resistance - $SPY --- http://t.co/LJPSpDeN
50,iSentium::spy,2013/01/01 08:23:20.000,2.0,311345,286100294683738114,1,285990103023751168,242322148,1,17,24,0,0.0,-1,-1,-1,-1,-1,0,RT @pensionpartners: Above The Fiscal Cliff Noise http://t.co/E1fZb1lS $GMM $VXX $SPY
51,iSentium::spy,2013/01/01 08:32:13.000,0.0,311346,286102531350872065,0,-1,19485664,1,400,811,0,0.0453074,-1,-1,-1,-1,-1,0,Commented on: "Last Day Of The Year: Examining Dividends" http://t.co/zxbAWbcU $DVY $SPY
52,iSentium::spy,2013/01/01 08:40:32.000,0.0,311347,11227440,0,-1,143717,0,-1,2331,0,0.0,-1,-1,-1,-1,-1,0,
53,iSentium::spy,2013/01/01 08:44:09.000,4.0,311348,286105532778024960,0,-1,11721122,1,25,12,0,0.0,-1,-1,-1,-1,-1,0,$spy  Happy New Year---- Let the games begin
54,iSentium::spy,2013/01/01 08:45:10.000,0.0,311349,286105790861963264,0,-1,250362250,1,1116,1011,0,0.0833333,-1,-1,-1,-1,-1,0,Here's my analysis of the State of the Market as of 12/29/12: http://t.co/Rqppl8QM $SPX $SPY $COMPQ $STUDY
55,iSentium::spy,2013/01/01 08:45:34.000,0.0,311350,11227446,0,-1,87080,0,-1,1,0,0.0,-1,-1,-1,-1,-1,0,
56,iSentium::spy,2013/01/01 08:50:25.000,9.0,311351,286107109467234304,0,-1,440912583,1,169,238,0,0.0176991,-1,-1,-1,-1,-1,0,
57,iSentium::spy,2013/01/01 09:02:40.000,0.0,311352,286110193685782528,0,-1,360642592,1,409,414,0,0.00625,-1,-1,-1,-1,-1,0,$SPX $SPY Last Post For "January Historcal Sector Analysis: Tech and HC...#... http://t.co/G8cfxe6H
58,iSentium::spy,2013/01/01 09:05:25.000,4.0,311353,286110886043721728,1,286068810828627968,162419093,0,277,2502,0,0.0,-1,-1,-1,-1,-1,0,RT @SeekingAlpha: S&P 500 Has Best Last Day Of Year Since 1974 http://t.co/3OGZLM4d $SPY $IVV $VOO
59,iSentium::spy,2013/01/01 09:08:47.000,0.0,311354,286111729207873538,0,-1,44798696,1,208,1124,0,0.0365854,-1,-1,-1,-1,-1,0,Since I primarily trade the S&P500 ($SPY); I compare/benchmark my performance against the S&P500... #timestamped
60,iSentium::spy,2013/01/01 09:09:05.000,0.0,311355,286111804084584448,0,-1,44798696,1,208,1125,0,0.0365112,-1,-1,-1,-1,-1,0,The performance of the S&P500 ($SPY); 2012 Q2 to Q4 (last 9 months); including dividends was +3.32% #timestamped
61,iSentium::spy,2013/01/01 09:09:17.000,-4.0,311356,286111860057600000,0,-1,44798696,1,208,1126,0,0.0364372,-1,-1,-1,-1,-1,0,Heading into the first trading day of 2013 (tomorrow); I am SHORT $SPY @ $142.08; 75% size position.  #timestamped
62,iSentium::spy,2013/01/01 09:21:13.000,5.0,311357,286114860515864576,0,-1,497544602,1,274,6534,0,0.0250558,-1,-1,-1,-1,-1,0,$SPY ETF News: 5 Best U.S. ETFs For 2013 http://t.co/0qGPintL #2013 #Best #ETFs
63,iSentium::spy,2013/01/01 09:32:49.000,16.0,311358,11227610,0,-1,197918,0,-1,402,0,0.0,-1,-1,-1,-1,-1,0,
64,iSentium::spy,2013/01/01 09:37:04.000,9.0,311359,286118848296525826,0,-1,34389648,1,695,6656,0,0.0319149,-1,-1,-1,-1,-1,0,Dow futures up 250 on fiscal cliff deal. S&P up 36. $SPY $DIA #FiscalCliff
65,iSentium::spy,2013/01/01 09:37:21.000,0.0,311360,11227628,0,-1,197918,0,-1,404,0,0.0,-1,-1,-1,-1,-1,0,
66,iSentium::spy,2013/01/01 09:39:07.000,11.0,311361,286119366381142018,0,-1,50361069,1,954,1334,0,0.0262892,-1,-1,-1,-1,-1,0,The decade of low Bush tax cuts- "that got us into this whole mess" (as per Harken; Biden; et'el) is finally over! Let the boom begin!! $SPY
67,iSentium::spy,2013/01/01 09:41:32.000,9.0,311362,286119971803774976,1,286118848296525826,195018520,1,95,3817,0,0.014756,-1,-1,-1,-1,-1,0,
68,iSentium::spy,2013/01/01 09:43:42.000,14.0,311363,11227640,0,-1,197918,0,-1,406,0,0.0,-1,-1,-1,-1,-1,0,
69,iSentium::spy,2013/01/01 09:45:03.000,0.0,311364,11227644,0,-1,197918,0,-1,408,0,0.0,-1,-1,-1,-1,-1,0,
70,iSentium::spy,2013/01/01 09:45:10.000,0.0,311365,286120886669565952,0,-1,39995088,1,17758,2210,0,0.037123,-1,-1,-1,-1,-1,0,Business News; Market Data Analysis and Economics News Updates  at http://t.co/R9TVmX3g Daily. $QQQ $XLF $SPY
71,iSentium::spy,2013/01/01 09:48:42.000,8.0,311366,11227659,0,-1,197918,0,-1,410,0,0.0,-1,-1,-1,-1,-1,0,
72,iSentium::spy,2013/01/01 09:49:09.000,0.0,311367,286121891708665858,0,-1,130198032,0,1557,2590,0,0.164146,-1,-1,-1,-1,-1,0,Low volume across the board today. $SPY
73,iSentium::spy,2013/01/01 10:02:01.000,3.0,311368,286125127014432768,0,-1,171985134,1,216,6233,0,0.0071111,-1,-1,-1,-1,-1,0,$spy ORACLE: Tale of A Software Giant: Due to its innovations; Oracle Corporation (NASDAQ:ORCL) is the... http://t.co/yNjOT178 ValueWalk
74,iSentium::spy,2013/01/01 10:05:18.000,0.0,311369,286125954454151168,0,-1,212597510,1,566,5192,0,0.0732385,-1,-1,-1,-1,-1,0,My latest 2013 forecasts on some assets & macro events. http://t.co/fAmIRUKL $EURUSD $SPY $AAPL $APA $TLT $GS $GLD #forex
75,iSentium::spy,2013/01/01 10:13:08.000,-3.0,311370,286127927291170816,0,-1,171985134,1,216,6234,0,0.0071095,-1,-1,-1,-1,-1,0,$spy Wilbur Ross On The Fiscal Cliff And Debt Ceiling [VIDEO]:  Wilbur Ross conducted an interview wit... http://t.co/u6cKV57c ValueWalk
76,iSentium::spy,2013/01/01 10:16:43.000,7.0,311371,286128828500299776,0,-1,260473647,1,219,5627,0,0.0145391,-1,-1,-1,-1,-1,0,Alot of charts trying to form a higher low; giving you a clear place to trade against. $SPY $AAPL $CRM
77,iSentium::spy,2013/01/01 10:19:04.000,-4.0,311372,286129418391416832,0,-1,227755413,1,22285,3097,0,0.577335,-1,-1,-1,-1,-1,0,@joebrusuelas The story in 2013 will be money rotating out of countries with debt ceilings; and into countries with surplus floors. $SPY
78,iSentium::spy,2013/01/01 10:20:03.000,12.0,311373,11227788,0,-1,197918,0,-1,421,0,0.0,-1,-1,-1,-1,-1,0,
79,iSentium::spy,2013/01/01 10:20:44.000,0.0,311374,286129840556494848,0,-1,21394549,1,5970,1573,0,0.303571,-1,-1,-1,-1,-1,0,Happy New Year! http://t.co/X3JVjK6s $SPY $QQQ $IWM $DIA $IYT $XLF $XLE $XLU $XLY
80,iSentium::spy,2013/01/01 10:20:53.000,-4.0,311375,286129877952905216,1,286129418391416832,109277084,1,2349,143,0,0.950617,-1,-1,-1,-1,-1,0,RT @pensionpartners: @joebrusuelas The story in 2013 will be money rotating out of countries with debt ceilings; and into countries with ...
81,iSentium::spy,2013/01/01 10:22:02.000,-9.0,311376,11227796,0,-1,197918,0,-1,422,0,0.0,-1,-1,-1,-1,-1,0,
82,iSentium::spy,2013/01/01 10:50:20.000,22.0,311377,11227891,0,-1,197918,0,-1,431,0,0.0,-1,-1,-1,-1,-1,0,6:30 is too early to go to bed.  Right?  I still have to call La and wish her a happy-ass birthday.
83,iSentium::spy,2013/01/01 10:51:58.000,-5.0,311378,11227898,0,-1,181514,0,-1,370,0,0.0,-1,-1,-1,-1,-1,0,
84,iSentium::spy,2013/01/01 10:58:05.000,10.0,311379,286139240235024384,0,-1,171985134,1,216,6235,0,0.0071079,-1,-1,-1,-1,-1,0,$spy Happy New Year: A Look At 2012 And Into 2013:  We wanted to wish everyone a Happy New Year. Again... http://t.co/djOucYxA ValueWalk
85,iSentium::spy,2013/01/01 11:01:09.000,0.0,311380,11227928,0,-1,181514,0,-1,373,0,0.0,-1,-1,-1,-1,-1,0,
86,iSentium::spy,2013/01/01 11:01:26.000,-5.0,311381,11227932,0,-1,80250,0,-1,46,0,0.0,-1,-1,-1,-1,-1,0,
87,iSentium::spy,2013/01/01 11:02:01.000,0.0,311382,286140226705948673,0,-1,171985134,1,216,6236,0,0.0071063,-1,-1,-1,-1,-1,0,$spy Apple 2013: The Advent Of Apple TV: Rumors have; for years; circled around the possibility that A... http://t.co/MDUZzQTD ValueWalk
88,iSentium::spy,2013/01/01 11:04:37.000,0.0,311383,11227943,0,-1,107864,0,-1,2049,0,0.0,-1,-1,-1,-1,-1,0,
89,iSentium::spy,2013/01/01 11:05:01.000,0.0,311384,286140985270996993,0,-1,180790948,1,129,1504,0,0.0148148,-1,-1,-1,-1,-1,0,2013 Annual Forecast $DIA $SPY - Stock Trader's Almanac Blog http://t.co/YxBeTYaY via @sharethis
90,iSentium::spy,2013/01/01 11:10:16.000,0.0,311385,286142303658196992,0,-1,304793011,0,154,1319,0,0.130879,-1,-1,-1,-1,-1,0,$SLV; $GLD; $SPY Technical Analysis is out! http://t.co/q33s8lRt ? Top stories today via @MarcinMZ @SpiderTrades @PreciMetalsnews
